	Kingdom	Phylum	Class	Order	Family	Genus	Species
ea85f08804eb16a0f2abf74559296b41	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Lacunisphaera	Unclassified
63f1c974d2aff5f18dd916a98b843b89	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured_Chloroflexi
11c8bdca56f64adee8808b61e229f0ee	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	Unclassified
20e31fb2c277af70c0ae26e101e89347	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	uncultured_bacterium
7e3d174990899addad7c96abca189461	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Unclassified	Unclassified
729294fe01d434e2eff0b0528bd4d26a	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	Unclassified
06f825b512d903b9230e1a55d87359ee	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Unclassified
ffc10ba565c63de571befaf27759a982	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
46741670db903b00bb6bb141c369c3ec	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured_Chloroflexaceae
b71e9305263383f82fd72122f794ed79	Bacteria	Chloroflexi	KD4-96	KD4-96	KD4-96	KD4-96	Unclassified
8507805333a241da557964f8a323f7d1	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	Unclassified
f084f9a384a8275613d588934548bd30	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	Unclassified
084c63d7fce654dfde12511efa76f8ee	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes	Unclassified
6201b5a6cc16853ffe4c4556eeefad88	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	Unclassified
608d31830f453ce335483b986c70b2fe	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	uncultured	uncultured	Unclassified
d0b9c330738973d81ad218cf04665972	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
113d31b301d63e6764e0ab48616d6166	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	AKYH767	metagenome
e66e1e1921a905589dd1481e7ef235f3	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	metagenome
09cbbb4209431da3b43e9c0011538488	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	Unclassified
76cb225b455ad99fb8ff065f8efe4e05	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	Unclassified
c854c2f53de76213804ca09fa444f9f9	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Dyella	Unclassified
66db13fd736eff683066e4f1c3bb7068	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	Unclassified
