trt.code,amf.status,treatment,date,growth.media,rep,arm.no,no.EPN,chem.index,total.recovered,avg.recovered
AS,mycorrhizal,soil_control,05.26.20,sand,5,3,91,-0.046296296,756,126
AS,mycorrhizal,soil_control,05.26.20,sand,6,3,1,-0.15503876,86,14.33333333
AS,mycorrhizal,soil_control,05.26.20,sand,7,3,8,-0.058558559,74,12.33333333
AS,mycorrhizal,soil_control,05.26.20,sand,8,3,64,-0.138534799,2275,379.1666667
AS,mycorrhizal,soil_control,07.23.20,mix,9,3,6,-0.146929825,304,50.66666667
AS,mycorrhizal,soil_control,07.23.20,mix,10,3,1010,0.716200466,1144,190.6666667
AS,mycorrhizal,soil_control,07.23.20,mix,11,3,16,-0.093272171,218,36.33333333
AS,mycorrhizal,soil_control,07.23.20,mix,12,3,33,-0.156325081,3191,531.8333333
AS,mycorrhizal,soil_control,07.23.20,mix,13,3,0,-0.166666667,30,5
AS,mycorrhizal,soil_control,07.23.20,mix,14,3,6,-0.137820513,208,34.66666667
AS,mycorrhizal,soil_control,08.02.20,mix,15,3,125,0.074646075,518,86.33333333
AS,mycorrhizal,soil_control,08.02.20,mix,16,3,55,-0.00952381,350,58.33333333
AS,mycorrhizal,soil_control,08.02.20,mix,17,3,2,-0.147798742,106,17.66666667
AS,mycorrhizal,soil_control,08.02.20,mix,18,3,13,-0.12654321,324,54
AS,mycorrhizal,soil_control,08.02.20,mix,19,3,48,0.055555556,216,36
AS,mycorrhizal,soil_control,08.02.20,mix,20,3,5,-0.127906977,129,21.5
AS,mycorrhizal,soil_control,09.02.20,mix,21,3,595,0.588409475,788,131.3333333
AS,mycorrhizal,soil_control,09.02.20,mix,22,3,10,-0.044715447,82,13.66666667
AS,mycorrhizal,soil_control,09.02.20,mix,23,3,105,0.125,360,60
AS,mycorrhizal,soil_control,09.02.20,mix,24,3,18,-0.06884058,184,30.66666667
AS,mycorrhizal,soil_control,09.02.20,mix,25,3,403,0.811488673,412,68.66666667
AS,mycorrhizal,soil_control,09.02.20,mix,26,3,0,-0.166666667,115,19.16666667
AW,mycorrhizal,wcr_infested,05.26.20,sand,5,1,9,-0.154761905,756,126
AW,mycorrhizal,wcr_infested,05.26.20,sand,6,1,0,-0.166666667,86,14.33333333
AW,mycorrhizal,wcr_infested,05.26.20,sand,7,1,0,-0.166666667,74,12.33333333
AW,mycorrhizal,wcr_infested,05.26.20,sand,8,1,2,-0.165787546,2275,379.1666667
AW,mycorrhizal,wcr_infested,07.23.20,mix,9,1,111,0.198464912,304,50.66666667
AW,mycorrhizal,wcr_infested,07.23.20,mix,10,1,13,-0.15530303,1144,190.6666667
AW,mycorrhizal,wcr_infested,07.23.20,mix,11,1,79,0.195718654,218,36.33333333
AW,mycorrhizal,wcr_infested,07.23.20,mix,12,1,9,-0.163846234,3191,531.8333333
AW,mycorrhizal,wcr_infested,07.23.20,mix,13,1,1,-0.133333333,30,5
AW,mycorrhizal,wcr_infested,07.23.20,mix,14,1,3,-0.15224359,208,34.66666667
AW,mycorrhizal,wcr_infested,08.02.20,mix,15,1,7,-0.153153153,518,86.33333333
AW,mycorrhizal,wcr_infested,08.02.20,mix,16,1,45,-0.038095238,350,58.33333333
AW,mycorrhizal,wcr_infested,08.02.20,mix,17,1,41,0.220125786,106,17.66666667
AW,mycorrhizal,wcr_infested,08.02.20,mix,18,1,43,-0.033950617,324,54
AW,mycorrhizal,wcr_infested,08.02.20,mix,19,1,23,-0.060185185,216,36
AW,mycorrhizal,wcr_infested,08.02.20,mix,20,1,27,0.042635659,129,21.5
AW,mycorrhizal,wcr_infested,09.02.20,mix,21,1,8,-0.156514382,788,131.3333333
