sample-id	Soil	Nitrogen	Cover_Crop	Grapevine	Block 	CC_and_GR	N_CC_and_GR	Treatments_by_Blocks	Soil_and_Treatment	Block_Soil_Treatment	Soil_Nitrogen	Soil_CC	Soil_GR	Soil_CC_GR	Block_Soil_N	Block_Soil
1A	Above	Nitrogen	Cover_Crop	Grapevine	1A	CC_GR	N_CC_GR	1A_N_CC_GR	Above_N_CC_GR	1A_Above_N_CC_GR	Above_N	Above_CC	Above_GR	Above_CC_GR	1A_Above_N	1A_Above
1B	Bag	Nitrogen	Cover_Crop	Grapevine	1A	CC_GR	N_CC_GR	1A_N_CC_GR	Bag_N_CC_GR	1A_Bag_N_CC_GR	Bag_N	Bag_CC	Bag_GR	Bag_CC_GR	1A_Bag_N	1A_Bag
1RS	Rhizosphere	Nitrogen	Cover_Crop	Grapevine	1A	CC_GR	N_CC_GR	1A_N_CC_GR	RS_N_CC_GR	1A_RS_N_CC_GR	RS_N	RS_CC	RS_GR	RS_CC_GR	1A_RS_N	1A_Rhizosphere
2A	Above	Nitrogen	Cover_Crop	Grapevine	1A	CC_GR	N_CC_GR	1A_N_CC_GR	Above_N_CC_GR	1A_Above_N_CC_GR	Above_N	Above_CC	Above_GR	Above_CC_GR	1A_Above_N	1A_Above
2B	Bag	Nitrogen	Cover_Crop	Grapevine	1A	CC_GR	N_CC_GR	1A_N_CC_GR	Bag_N_CC_GR	1A_Bag_N_CC_GR	Bag_N	Bag_CC	Bag_GR	Bag_CC_GR	1A_Bag_N	1A_Bag
2RS	Rhizosphere	Nitrogen	Cover_Crop	Grapevine	1A	CC_GR	N_CC_GR	1A_N_CC_GR	RS_N_CC_GR	1A_RS_N_CC_GR	RS_N	RS_CC	RS_GR	RS_CC_GR	1A_RS_N	1A_Rhizosphere
3A	Above	Nitrogen	Cover_Crop	Grapevine	1A	CC_GR	N_CC_GR	1A_N_CC_GR	Above_N_CC_GR	1A_Above_N_CC_GR	Above_N	Above_CC	Above_GR	Above_CC_GR	1A_Above_N	1A_Above
3B	Bag	Nitrogen	Cover_Crop	Grapevine	1A	CC_GR	N_CC_GR	1A_N_CC_GR	Bag_N_CC_GR	1A_Bag_N_CC_GR	Bag_N	Bag_CC	Bag_GR	Bag_CC_GR	1A_Bag_N	1A_Bag
3RS	Rhizosphere	Nitrogen	Cover_Crop	Grapevine	1A	CC_GR	N_CC_GR	1A_N_CC_GR	RS_N_CC_GR	1A_RS_N_CC_GR	RS_N	RS_CC	RS_GR	RS_CC_GR	1A_RS_N	1A_Rhizosphere
4A	Above	Nitrogen	Cover_Crop	No_Grapevine	1A	CC_NoGR	N_CC_NoGR	1A_N_CC_NoGR	Above_N_CC_NoGR	1A_Above_N_CC_NoGR	Above_N	Above_CC	Above_NoGR	Above_CC_NoGR	1A_Above_N	1A_Above
