Temp,Time,Sample,Rep,Count,Dilution,1/Dultion,DF,cfu/g,log (cfu/g),Average log,Reduction ,SD,SE
130,0,1,1,219,1.00E-05,1.00E+05,5,1.10E+08,8.039414119,7.71,0,0.240229628,0.075967279
130,0,1,1,,,#DIV/0!,5,NA,.,,,,
130,0,2,1,131,1.00E-05,1.00E+05,5,6.55E+07,7.8162413,,,,
130,0,2,1,,,#DIV/0!,5,NA,.,,,,
130,0,1,2,189,1.00E-05,1.00E+05,5,9.45E+07,7.975431809,,,,
130,0,1,2,189,1.00E-05,1.00E+05,5,9.45E+07,7.975431809,,,,
130,0,2,2,61,1.00E-05,1.00E+05,5,3.05E+07,7.484299839,,,,
130,0,2,2,57,1.00E-05,1.00E+05,5,2.85E+07,7.45484486,,,,
130,0,1,3,95,1.00E-05,1.00E+05,5,4.75E+07,7.67669361,,,,
130,0,1,3,123,1.00E-05,1.00E+05,5,6.15E+07,7.788875116,,,,
130,0,2,3,59,1.00E-05,1.00E+05,5,2.95E+07,7.469822016,,,,
130,0,2,3,54,1.00E-05,1.00E+05,5,2.70E+07,7.431363764,,,,
130,1,1,1,17,1.00E-01,1.00E+01,5,8.50E+02,2.929418926,1.995,5.72,1.68686423,0.508608702
130,1,1,1,,,#DIV/0!,5,NA,.,,,,
130,1,2,1,3,0.00E+00,1.00E+00,5,1.50E+01,1.176091259,,,,
130,1,2,1,265,0.00E+00,1.00E+00,5,1.33E+03,3.122215878,,,,
130,1,1,2,1,0.00E+00,1.00E+00,5,5.00E+00,0.698970004,,,,
130,1,1,2,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,1,2,2,2,0.00E+00,1.00E+00,5,1.00E+01,1,,,,
130,1,2,2,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,1,1,3,133,1.00E-02,1.00E+02,5,6.65E+04,4.822821645,,,,
130,1,1,3,174,1.00E-02,1.00E+02,5,8.70E+04,4.939519253,,,,
130,1,2,3,3,0.00E+00,1.00E+00,5,1.50E+01,1.176091259,,,,
130,1,2,3,4,0.00E+00,1.00E+00,5,2.00E+01,1.301029996,,,,
130,2,1,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,0.97,6.74,1.364747415,0.393968644
130,2,1,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,2,2,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,2,2,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,2,1,2,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,2,1,2,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,2,2,2,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,2,2,2,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,2,1,3,153,1.00E-01,1.00E+01,5,7.65E+03,3.883661435,,,,
130,2,1,3,162,1.00E-01,1.00E+01,5,8.10E+03,3.908485019,,,,
130,2,2,3,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,2,2,3,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,3,1,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,0.975,6.74,1.228472151,0.354629363
130,3,1,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,3,2,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,3,2,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,3,1,2,1,0.00E+00,1.00E+00,5,5.00E+00,0.698970004,,,,
130,3,1,2,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,3,2,2,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,3,2,2,1,0.00E+00,1.00E+00,5,5.00E+00,0.698970004,,,,
130,3,1,3,74,1.00E-01,1.00E+01,5,3.70E+03,3.568201724,,,,
130,3,1,3,83,1.00E-01,1.00E+01,5,4.15E+03,3.618048097,,,,
130,3,2,3,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
130,3,2,3,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,0,1,1,214,1.00E-05,1.00E+05,5,1.07E+08,8.029383778,7.83,0,0.150999714,0.047750302
125,0,1,1,,,#DIV/0!,5,NA,.,,,,
125,0,2,1,225,1.00E-05,1.00E+05,5,1.13E+08,8.051152522,,,,
125,0,2,1,,,#DIV/0!,5,NA,.,,,,
125,0,1,2,92,1.00E-05,1.00E+05,5,4.60E+07,7.662757832,,,,
125,0,1,2,113,1.00E-05,1.00E+05,5,5.65E+07,7.752048448,,,,
125,0,2,2,125,1.00E-05,1.00E+05,5,6.25E+07,7.795880017,,,,
125,0,2,2,146,1.00E-05,1.00E+05,5,7.30E+07,7.86332286,,,,
125,0,1,3,147,1.00E-05,1.00E+05,5,7.35E+07,7.866287339,,,,
125,0,1,3,186,1.00E-05,1.00E+05,5,9.30E+07,7.968482949,,,,
125,0,2,3,88,1.00E-05,1.00E+05,5,4.40E+07,7.643452676,,,,
125,0,2,3,94,1.00E-05,1.00E+05,5,4.70E+07,7.672097858,,,,
125,1,1,1,15,0.00E+00,1.00E+00,5,7.50E+01,1.875061263,1.57,6.26,0.710056633,0.204975694
125,1,1,1,23,0.00E+00,1.00E+00,5,1.15E+02,2.06069784,,,,
125,1,2,1,1,0.00E+00,1.00E+00,5,5.00E+00,0.698970004,,,,
125,1,2,1,1,0.00E+00,1.00E+00,5,5.00E+00,0.698970004,,,,
125,1,1,2,81,0.00E+00,1.00E+00,5,4.05E+02,2.607455023,,,,
125,1,1,2,76,0.00E+00,1.00E+00,5,3.80E+02,2.579783597,,,,
125,1,2,2,6,0.00E+00,1.00E+00,5,3.00E+01,1.477121255,,,,
125,1,2,2,3,0.00E+00,1.00E+00,5,1.50E+01,1.176091259,,,,
125,1,1,3,17,0.00E+00,1.00E+00,5,8.50E+01,1.929418926,,,,
125,1,1,3,22,0.00E+00,1.00E+00,5,1.10E+02,2.041392685,,,,
125,1,2,3,1,0.00E+00,1.00E+00,5,5.00E+00,0.698970004,,,,
125,1,2,3,2,0.00E+00,1.00E+00,5,1.00E+01,1,,,,
125,2,1,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,0.95,6.88,0.816928527,0.235826952
125,2,1,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,2,2,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,2,2,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,2,1,2,66,0.00E+00,1.00E+00,5,3.30E+02,2.51851394,,,,
125,2,1,2,66,0.00E+00,1.00E+00,5,3.30E+02,2.51851394,,,,
125,2,2,2,3,0.00E+00,1.00E+00,5,1.50E+01,1.176091259,,,,
125,2,2,2,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,2,1,3,4,0.00E+00,1.00E+00,5,2.00E+01,1.301029996,,,,
125,2,1,3,3,0.00E+00,1.00E+00,5,1.50E+01,1.176091259,,,,
125,2,2,3,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,2,2,3,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,3,1,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,1.64,6.19,1.462729291,0.422253575
125,3,1,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,3,2,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,3,2,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,3,1,2,32,1.00E-01,1.00E+01,5,1.60E+03,3.204119983,,,,
125,3,1,2,37,1.00E-01,1.00E+01,5,1.85E+03,3.267171728,,,,
125,3,2,2,2,0.00E+00,1.00E+00,5,1.00E+01,1,,,,
125,3,2,2,3,0.00E+00,1.00E+00,5,1.50E+01,1.176091259,,,,
125,3,1,3,2,0.00E+00,1.00E+00,5,1.00E+01,1,,,,
125,3,1,3,1,0.00E+00,1.00E+00,5,5.00E+00,0.698970004,,,,
125,3,2,3,23,1.00E-02,1.00E+02,5,1.15E+04,4.06069784,,,,
125,3,2,3,11,1.00E-02,1.00E+02,5,5.50E+03,3.740362689,,,,
125,4,1,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,0.55,7.28,0.370179522,0.106861623
125,4,1,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,4,2,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,4,2,1,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,4,1,2,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,4,1,2,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,4,2,2,3,0.00E+00,1.00E+00,5,1.50E+01,1.176091259,,,,
125,4,2,2,6,0.00E+00,1.00E+00,5,3.00E+01,1.477121255,,,,
125,4,1,3,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,4,1,3,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,4,2,3,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
125,4,2,3,0,0.00E+00,1.00E+00,5,0.00E+00,0.39,,,,
115,0,1,1,75,1.00E-04,1.00E+04,5,3.75E+06,6.574031268,7.44,0,0.392209342,0.124027484
115,0,1,1,,,#DIV/0!,5,NA,.,,,,
115,0,2,1,40,1.00E-05,1.00E+05,5,2.00E+07,7.301029996,,,,
115,0,2,1,,,#DIV/0!,5,NA,.,,,,
115,0,1,2,116,1.00E-05,1.00E+05,5,5.80E+07,7.763427994,,,,
115,0,1,2,125,1.00E-05,1.00E+05,5,6.25E+07,7.795880017,,,,
115,0,2,2,40,1.00E-05,1.00E+05,5,2.00E+07,7.301029996,,,,
115,0,2,2,35,1.00E-05,1.00E+05,5,1.75E+07,7.243038049,,,,
115,0,1,3,138,1.00E-05,1.00E+05,5,6.90E+07,7.838849091,,,,
115,0,1,3,139,1.00E-05,1.00E+05,5,6.95E+07,7.841984805,,,,
115,0,2,3,48,1.00E-05,1.00E+05,5,2.40E+07,7.380211242,,,,
115,0,2,3,50,1.00E-05,1.00E+05,5,2.50E+07,7.397940009,,,,
115,1,1,1,71,1.00E-05,1.00E+05,5,3.55E+07,7.550228353,7.186,0.26,0.563482553,0.178188829
115,1,1,1,51,1.00E-05,1.00E+05,5,2.55E+07,7.40654018,,,,
115,1,2,1,105,1.00E-04,1.00E+04,5,5.25E+06,6.720159303,,,,
115,1,2,1,14,1.00E-05,1.00E+05,5,7.00E+06,6.84509804,,,,
115,1,1,2,96,1.00E-05,1.00E+05,5,4.80E+07,7.681241237,,,,
115,1,1,2,69,1.00E-05,1.00E+05,5,3.45E+07,7.537819095,,,,
115,1,2,2,85,1.00E-05,1.00E+05,5,4.25E+07,7.62838893,,,,
115,1,2,2,119,1.00E-05,1.00E+05,5,5.95E+07,7.774516966,,,,
115,1,1,3,,,,5,0.00E+00,.,,,,
115,1,1,3,,,,5,0.00E+00,.,,,,
115,1,2,3,7,1.00E-05,1.00E+05,5,3.50E+06,6.544068044,,,,
115,1,2,3,3,1.00E-05,1.00E+05,5,1.50E+06,6.176091259,,,,
115,2,1,1,24,1.00E-03,1.00E+03,5,1.20E+05,5.079181246,5.43,2.01,0.548905601,0.158455398
115,2,1,1,28,1.00E-03,1.00E+03,5,1.40E+05,5.146128036,,,,
115,2,2,1,7,1.00E-03,1.00E+03,5,3.50E+04,4.544068044,,,,
115,2,2,1,5,1.00E-03,1.00E+03,5,2.50E+04,4.397940009,,,,
115,2,1,2,15,1.00E-04,1.00E+04,5,7.50E+05,5.875061263,,,,
115,2,1,2,11,1.00E-04,1.00E+04,5,5.50E+05,5.740362689,,,,
115,2,2,2,7,1.00E-04,1.00E+04,5,3.50E+05,5.544068044,,,,
115,2,2,2,23,1.00E-04,1.00E+04,5,1.15E+06,6.06069784,,,,
115,2,1,3,38,1.00E-03,1.00E+03,5,1.90E+05,5.278753601,,,,
115,2,1,3,205,1.00E-03,1.00E+03,5,1.03E+06,6.010723865,,,,
115,2,2,3,115,1.00E-03,1.00E+03,5,5.75E+05,5.759667845,,,,
115,2,2,3,106,1.00E-03,1.00E+03,5,5.30E+05,5.72427587,,,,
